Delay (ps) - A ch X	Lockin Signal - A ch X	Delay (ps) - A ch Y	Lockin Signal - A ch Y	Delay (ps) - B ch X	Lockin Signal - B ch X	Delay (ps) - B ch Y	Lockin Signal - B ch Y	
52.0250	9.77E-3	52.0250	-2.08E-3	52.0250	9.77E-3	52.0250	-2.08E-3	
52.0300	9.81E-3	52.0300	-2.07E-3	52.0300	9.81E-3	52.0300	-2.07E-3	
52.0350	9.84E-3	52.0350	-2.07E-3	52.0350	9.84E-3	52.0350	-2.07E-3	
52.0400	9.90E-3	52.0400	-2.06E-3	52.0400	9.90E-3	52.0400	-2.06E-3	
52.0450	9.93E-3	52.0450	-2.06E-3	52.0450	9.93E-3	52.0450	-2.06E-3	
52.0500	9.97E-3	52.0500	-2.05E-3	52.0500	9.97E-3	52.0500	-2.05E-3	
52.0550	1.00E-2	52.0550	-2.04E-3	52.0550	1.00E-2	52.0550	-2.04E-3	
52.0600	1.00E-2	52.0600	-2.04E-3	52.0600	1.00E-2	52.0600	-2.04E-3	
52.0650	1.00E-2	52.0650	-2.04E-3	52.0650	1.00E-2	52.0650	-2.04E-3	
52.0700	1.00E-2	52.0700	-2.04E-3	52.0700	1.00E-2	52.0700	-2.04E-3	
52.0750	1.00E-2	52.0750	-2.04E-3	52.0750	1.00E-2	52.0750	-2.04E-3	
52.0800	1.00E-2	52.0800	-2.04E-3	52.0800	1.00E-2	52.0800	-2.04E-3	
52.0850	9.99E-3	52.0850	-2.04E-3	52.0850	9.99E-3	52.0850	-2.04E-3	
52.0900	9.95E-3	52.0900	-2.05E-3	52.0900	9.95E-3	52.0900	-2.05E-3	
52.0950	9.92E-3	52.0950	-2.05E-3	52.0950	9.92E-3	52.0950	-2.05E-3	
52.1000	9.86E-3	52.1000	-2.06E-3	52.1000	9.86E-3	52.1000	-2.06E-3	
52.1050	9.82E-3	52.1050	-2.07E-3	52.1050	9.82E-3	52.1050	-2.07E-3	
52.1100	9.74E-3	52.1100	-2.08E-3	52.1100	9.74E-3	52.1100	-2.08E-3	
52.1150	9.69E-3	52.1150	-2.09E-3	52.1150	9.69E-3	52.1150	-2.09E-3	
52.1200	9.61E-3	52.1200	-2.10E-3	52.1200	9.61E-3	52.1200	-2.10E-3	
52.1250	9.57E-3	52.1250	-2.10E-3	52.1250	9.57E-3	52.1250	-2.10E-3	
52.1300	9.53E-3	52.1300	-2.11E-3	52.1300	9.53E-3	52.1300	-2.11E-3	
52.1350	9.52E-3	52.1350	-2.11E-3	52.1350	9.52E-3	52.1350	-2.11E-3	
52.1400	9.53E-3	52.1400	-2.10E-3	52.1400	9.53E-3	52.1400	-2.10E-3	
52.1450	9.61E-3	52.1450	-2.09E-3	52.1450	9.61E-3	52.1450	-2.09E-3	
52.1500	9.81E-3	52.1500	-2.06E-3	52.1500	9.81E-3	52.1500	-2.06E-3	
52.1550	9.94E-3	52.1550	-2.04E-3	52.1550	9.94E-3	52.1550	-2.04E-3	
52.1600	1.03E-2	52.1600	-1.99E-3	52.1600	1.03E-2	52.1600	-1.99E-3	
